committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
SENATE MAJORITY FUND,527 Political Organization,600.0,2025-01-06 00:00:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting
FRIENDS FOR THE FUTURE (F3),527 Political Organization,0.7,2025-01-07 00:00:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Sielaff)
LET COLORADO VOTE ACTION,Independent Expenditure Committee,20.0,2025-01-07 00:00:00,First Bank,Denver,CO,80231,Bank Fees,Bank Fee
LET COLORADO VOTE ACTION,Independent Expenditure Committee,-20.0,2025-01-07 00:00:00,First Bank,Denver,CO,80231,Bank Fees,Offset Due To Update Of Filed Item - Bank Fee
LET COLORADO VOTE ACTION,Independent Expenditure Committee,10.0,2025-01-07 00:00:00,First Bank,Denver,CO,80231,Bank Fees,Bank Fee
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA COLORADO ACTION FUND (PHRMA COLORADO ACTION FUN,527 Political Organization,10000.0,2025-01-07 00:00:00,Senate Majority Fund,Denver,CO,80205,Contributions,Contriution
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA COLORADO ACTION FUND (PHRMA COLORADO ACTION FUN,527 Political Organization,10000.0,2025-01-07 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,Contribution
SENATE MAJORITY FUND,527 Political Organization,47.32,2025-01-07 00:00:00,Mailchimp,Atlanta,GA,30308,Advertising,Email Communications
ALL TOGETHER COLORADO,Independent Expenditure Committee,4.0,2025-01-08 00:00:00,,,,,Other,Parking
NEW DAY COLORADO FUND,527 Political Organization,238.9,2025-01-09 00:00:00,Anedot,New Orleans,CO,70117,Bank Fees,
COLORADO HEALTH FREEDOM PAC,Independent Expenditure Committee,2.0,2025-01-10 00:00:00,Firstbank,Castle Rock,CO,80104,Bank Fees,Fees For Firstbank Credit/Debit Card
COLORADO'S DISTRICT ATTORNEY ASSOCIATION ACTION,Independent Expenditure Committee,500.0,2025-01-10 00:00:00,Strategic Compliance Llc,Denver,CO,80205,Consultant & Professional Services,
CONSERVATION COLORADO VICTORY FUND,Independent Expenditure Committee,68.0,2025-01-10 00:00:00,Tierney Lawrence,Denver,CO,80203,Consultant & Professional Services,Legal Fees
NEW DAY COLORADO FUND,527 Political Organization,425.69,2025-01-11 00:00:00,Horizon Reprographics,Denver,CO,80223,Miscellaneous,
NEW DAY COLORADO FUND,527 Political Organization,893.59,2025-01-11 00:00:00,Ringside Consulting,Denver,CO,80212,Consultant & Professional Services,Pre-Session
PROTECT OUR VOTE,Independent Expenditure Committee,197.5,2025-01-12 00:00:00,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,
ALL TOGETHER COLORADO,Independent Expenditure Committee,39.5,2025-01-13 00:00:00,Actblue,Somerville,MA,02144,Bank Fees,
COLLEGE ACCESS FOR COLORADO,Independent Expenditure Committee,7800.0,2025-01-13 00:00:00,Engage Strategies,Denver,CO,80202,Consultant & Professional Services,
COLORADO HOSPITALS ACTION FUND,Independent Expenditure Committee,89.62,2025-01-13 00:00:00,,,,,Bank Fees,Jan Bank Fees
COLORADO WAY FORWARD,Independent Expenditure Committee,5000.0,2025-01-13 00:00:00,You Need A Plan,Littleton,CO,80160,Consultant & Professional Services,
COLORADO WAY FORWARD,Independent Expenditure Committee,8000.0,2025-01-13 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
NEW DAY COLORADO FUND,527 Political Organization,2.3,2025-01-13 00:00:00,Anedot,New Orleans,CO,70117,Bank Fees,
ALL TOGETHER COLORADO,Independent Expenditure Committee,395.0,2025-01-14 00:00:00,Actblue,Somerville,MA,02144,Bank Fees,
COLORADO WAY FORWARD,Independent Expenditure Committee,197.5,2025-01-14 00:00:00,Actblue,Sommerville,MA,02144,Bank Fees,
COLORADO WAY FORWARD,Independent Expenditure Committee,39.5,2025-01-14 00:00:00,Actblue,Sommerville,MA,02144,Bank Fees,
BRIGHTER COLORADO FUTURES 527,527 Political Organization,25.0,2025-01-15 00:00:00,E-File Magic,Portland,OR,97294,Office Equipment & Supplies,1099 Software
NEW COLORADO PROMISE,Independent Expenditure Committee,477.96,2025-01-16 00:00:00,American Airlines,Fort Worth,TX,76155,Consultant & Professional Services,Reimbursement: Travel: Air
NEW COLORADO PROMISE,Independent Expenditure Committee,629.53,2025-01-16 00:00:00,Denver Marriott South At Park Meadows,Lone Tree,CO,80124,Travel & Lodging,Reimbursement: Travel: Lodging
NEW COLORADO PROMISE,Independent Expenditure Committee,320.28,2025-01-16 00:00:00,Avis Car Rental,Parsippany,NJ,07054,Travel & Lodging,Reimbursement: Travel: Ground
NEW COLORADO PROMISE,Independent Expenditure Committee,186.52,2025-01-16 00:00:00,Fedex,Memphis,TN,38120,Office Equipment & Supplies,Reimbursement: Postage Expense
NEW COLORADO PROMISE,Independent Expenditure Committee,358.03,2025-01-16 00:00:00,American Airlines,Fort Worth,TX,76155,Travel & Lodging,Reimbursement: Travel: Air
NEW COLORADO PROMISE,Independent Expenditure Committee,234.44,2025-01-16 00:00:00,Denver Marriott South At Park Meadows,Lone Tree,CO,80124,Travel & Lodging,Reimbursement: Travel: Lodging
NEW COLORADO PROMISE,Independent Expenditure Committee,427.07,2025-01-16 00:00:00,Storyboards Inc,Dallas,TX,75254,Other,Reimbursement: Printing Expense
NEW COLORADO PROMISE,Independent Expenditure Committee,1355.0,2025-01-16 00:00:00,Storyboards Inc,Dallas,TX,75254,Other,Reimbursement: Design Software
COLORADO BEVERAGE ASSOCIATION 527,527 Political Organization,2000.0,2025-01-17 00:00:00,Colorado Democrat Latino Caucus,Denver,CO,80222,Contributions,Contribution
COLORADO BEVERAGE ASSOCIATION 527,527 Political Organization,2000.0,2025-01-17 00:00:00,The Colorado Black Democratic Legislative Caucus,Denver,CO,80207,Contributions,Contribution
STOP ANTISEMITISM COLORADO ACTION FUND,527 Political Organization,6.25,2025-01-17 00:00:00,,,,,Office Equipment & Supplies,
NEW DAY COLORADO FUND,527 Political Organization,0.5,2025-01-20 00:00:00,Anedot,New Orleans,CO,70117,Bank Fees,
MONTROSE REPUBLICAN WOMEN,527 Political Organization,80.85,2025-01-21 00:00:00,Aspen Designs,Annapolis,MD,21403,Fundraising Expenses,Pins
SENATE MAJORITY FUND,527 Political Organization,21917.91,2025-01-21 00:00:00,Westbrooke Group,Denver,CO,80206,Consultant & Professional Services,
COLORADANS FOR HOUSING AFFORDABILITY,Independent Expenditure Committee,30000.0,2025-01-22 00:00:00,Wr Communications Inc,Denver,CO,80220,Consultant & Professional Services,
MONTROSE REPUBLICAN WOMEN,527 Political Organization,175.0,2025-01-22 00:00:00,Kerri  Catlin,Montrose,CO,81403,Advertising,Reimbursement To Kerri Catlin For Advertising
MONTROSE REPUBLICAN WOMEN,527 Political Organization,217.0,2025-01-22 00:00:00,The Association,Montrose,CO,81401,Rent & Utilities,Facility Rental
COLORADO BEVERAGE ASSOCIATION 527,527 Political Organization,163.5,2025-01-23 00:00:00,West Group,Denver,CO,80111,Consultant & Professional Services,Legal And Professional Service Fee
COLORADO BEVERAGE ASSOCIATION 527,527 Political Organization,2000.0,2025-01-23 00:00:00,The Colorado Black Democratic Legislative Caucus,Denver,CO,80207,Contributions,Contribution
RED MAJORITY COLORADO,Independent Expenditure Committee,1.0,2025-01-23 00:00:00,"Anedot, Inc",New Orleans,LA,70112,Fundraising Expenses,
ALL TOGETHER COLORADO,Independent Expenditure Committee,161.95,2025-01-24 00:00:00,Actblue,Somerville,MA,02144,Bank Fees,
COLORADO WAY FORWARD,Independent Expenditure Committee,5000.0,2025-01-24 00:00:00,5280 Development,Denver,CO,80206,Consultant & Professional Services,
COLORADO WAY FORWARD,Independent Expenditure Committee,102.7,2025-01-24 00:00:00,Actblue,Sommerville,MA,02144,Bank Fees,
PROTECT OUR VOTE,Independent Expenditure Committee,197.5,2025-01-26 00:00:00,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,
ALL TOGETHER COLORADO,Independent Expenditure Committee,3000.0,2025-01-27 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,41.27,2025-01-27 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
BALANCING THE ROCKIES,Independent Expenditure Committee,5.01,2025-01-27 00:00:00,Square,San Francisco,CA,94103,Bank Fees,Processing Fees
CENTENNIAL VALUES,Independent Expenditure Committee,500.0,2025-01-27 00:00:00,"Polestar, Inc.",Denver,CO,80202,Consultant & Professional Services,Monthly Consulting Fee
COLORADANS CREATING OPPORTUNITIES,Independent Expenditure Committee,500.0,2025-01-27 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADO CONSTRUCTION INDUSTRY COALITION - 527 (CCIC - 527),527 Political Organization,693.37,2025-01-27 00:00:00,Foster Graham Milstein & Calisher,Denver,CO,80209,Consultant & Professional Services,Professional Services
COLORADO DEMOCRACY PROJECT,Independent Expenditure Committee,500.0,2025-01-27 00:00:00,"Polestar, Inc.",Denver,CO,80202,Consultant & Professional Services,Monthly Consulting Fee
COLORADO LABOR ACTION,Independent Expenditure Committee,250.0,2025-01-27 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
VOTERS FOR COLORADO'S FUTURE,Independent Expenditure Committee,500.0,2025-01-27 00:00:00,"Polestar, Inc.",Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
FRIENDS FOR THE FUTURE (F3),527 Political Organization,0.7,2025-01-28 00:00:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Ortman)
ALL TOGETHER COLORADO,Independent Expenditure Committee,1000.0,2025-01-29 00:00:00,The Ranch Country Club,Westminster,CO,80234,Other,Event Expense
COLORADO WAY FORWARD,Independent Expenditure Committee,3000.0,2025-01-29 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
NRA POLITICAL VICTORY FUND - IE COMMITTEE,Independent Expenditure Committee,5.0,2025-01-30 00:00:00,"Chain Bridge Bank, N.A.",Mclean,VA,22101,Bank Fees,Bank Fees
ALL TOGETHER COLORADO,527 Political Organization,2.0,2025-01-31 00:00:00,,,,,Bank Fees,
ALL TOGETHER COLORADO,Independent Expenditure Committee,6.0,2025-01-31 00:00:00,,,,,Bank Fees,
BALANCING THE ROCKIES,Independent Expenditure Committee,2.0,2025-01-31 00:00:00,Independent Financial,Greenwood Village,CO,80111,Bank Fees,Bank Fee
BLUEFLOWER ACTION,Independent Expenditure Committee,2.0,2025-01-31 00:00:00,,,,,Bank Fees,
BRIGHTER COLORADO FUTURES 527,527 Political Organization,12.0,2025-01-31 00:00:00,First Bank,Lakewood,CO,80215,Bank Fees,
COLORADANS CREATING OPPORTUNITIES,Independent Expenditure Committee,2.0,2025-01-31 00:00:00,,,,,Bank Fees,
COLORADANS FOR ACCOUNTABLE GOVERNMENT,Independent Expenditure Committee,10.0,2025-01-31 00:00:00,First Bank,Denver,CO,80203,Bank Fees,
COLORADANS FOR COLORADO VALUES,Independent Expenditure Committee,2.0,2025-01-31 00:00:00,,,,,Bank Fees,
COLORADANS FOR PROPERTY RIGHTS,Independent Expenditure Committee,12.0,2025-01-31 00:00:00,First Bank,Denver,CO,80204,Bank Fees,
COLORADO LABOR ACTION,Independent Expenditure Committee,4.0,2025-01-31 00:00:00,,,,,Bank Fees,
COLORADO WAY FORWARD,527 Political Organization,2.0,2025-01-31 00:00:00,,,,,Bank Fees,
COLORADO WAY FORWARD,Independent Expenditure Committee,4.0,2025-01-31 00:00:00,,,,,Bank Fees,
KEEP COLORADO COUNTIES SAFE,Independent Expenditure Committee,2.0,2025-01-31 00:00:00,First Bank,Littleton,CO,80128,Bank Fees,Bank Fee
NEW DAY COLORADO FUND,527 Political Organization,1.0,2025-01-31 00:00:00,Firstbank North,Arvada,CO,80006,Bank Fees,
PLANNED PARENTHOOD VOTES COLORADO INDEPENDENT EXPENDITURE COMMITTEE,Independent Expenditure Committee,2.0,2025-01-31 00:00:00,,,,,Bank Fees,Bank Fees
COLORADO HEALTH FREEDOM PAC,Independent Expenditure Committee,1.9,2025-02-01 00:00:00,,,,,Bank Fees,Fees Taken Out Of Contributions That Were Donated-Anedot
COLORADO HEALTH FREEDOM PAC,Independent Expenditure Committee,0.7,2025-02-02 00:00:00,,,,,Bank Fees,Fees Taken Out Of Contributions That Were Donated-Anedot
COLORADO CONSTRUCTION INDUSTRY COALITION - 527 (CCIC - 527),527 Political Organization,279.63,2025-02-03 00:00:00,Deluxe,,CO,,Bank Fees,Ccic Check Reorder
CONSERVATION COLORADO VICTORY FUND,Independent Expenditure Committee,11.78,2025-02-03 00:00:00,Www.Tax1099.Com,Fayetteville,AR,72701,Other,1099 Filings
NEW DAY COLORADO FUND,527 Political Organization,13030.62,2025-02-03 00:00:00,Ringside Consulting,Denver,CO,80212,Consultant & Professional Services,
PLANNED PARENTHOOD VOTES COLORADO INDEPENDENT EXPENDITURE COMMITTEE,Independent Expenditure Committee,5.0,2025-02-03 00:00:00,,,,,Bank Fees,Credit Card Processing Fees
PLANNED PARENTHOOD VOTES COLORADO INDEPENDENT EXPENDITURE COMMITTEE,Independent Expenditure Committee,0.41,2025-02-03 00:00:00,,,,,Bank Fees,Credit Card Processing Fees
